croc,overall_rarity,a1,a2,a3,a4,a5,a6,a7,a8,a9,a1_rarity,a2_rarity,a3_rarity,a4_rarity,a5_rarity,a6_rarity,a7_rarity,a8_rarity,a9_rarity
913,12396887986.9995,0,2,0,0,8,22,4,0,5,85.734,1.778,57.763,20.545,5.052,2.768,11.352,90.92,4.748
914,747628.813748544,0,42,0,58,9,62,5,10,32,85.734,1.575,57.763,1.463,2.847,2.655,14.75,0.428,1.373
915,100785860.445836,0,15,0,11,7,66,14,0,10,85.734,1.654,57.763,1.62,4.197,2.318,2.003,90.92,4.287
916,138383544.91922,0,19,0,23,7,49,11,0,34,85.734,1.879,57.763,3.938,4.197,1.789,4.275,90.92,1.294
917,3823520212.67162,0,41,0,2,13,49,13,0,5,85.734,3.297,57.763,4.242,6.503,1.789,10.992,90.92,4.748
918,182667370.660651,0,29,0,4,33,53,13,0,12,85.734,1.688,57.763,1.44,3.544,0.911,10.992,90.92,4.703
919,3214696446.63683,0,0,14,0,16,30,13,0,3,85.734,32.673,2.025,20.545,1.991,2.667,10.992,90.92,5.198
920,3241010.34076145,0,41,8,34,6,32,11,0,20,85.734,3.297,1.339,0.518,6.436,2.937,4.275,90.92,2.25
921,177303373.112765,0,42,0,33,32,10,1,0,34,85.734,1.575,57.763,3.364,1.159,2.734,18.126,90.92,1.294
922,329432.895668782,6,0,0,19,3,0,1,1,15,0.956,32.673,57.763,0.743,4.32,2.667,18.126,0.619,1.901
923,1288632226.68218,0,16,0,0,13,7,11,0,4,85.734,0.585,57.763,20.545,6.503,2.014,4.275,90.92,4.253
924,295285066.666392,0,0,10,7,32,31,1,0,3,85.734,32.673,1.879,3.24,1.159,1.744,18.126,90.92,5.198
925,4620847.43916669,0,31,30,28,9,15,1,0,15,85.734,0.99,1.508,1.564,2.847,2.588,18.126,90.92,1.901
926,783567.457666387,0,16,19,12,1,42,10,0,45,85.734,0.585,4.388,2.104,3.105,1.778,3.893,90.92,0.866
927,322140031.263043,0,15,0,43,33,9,5,0,27,85.734,1.654,57.763,2.475,3.544,1.834,14.75,90.92,1.823
928,3504004.8327306,9,0,22,5,8,61,1,0,35,0.945,32.673,1.024,3.555,5.052,1.789,18.126,90.92,2.093
929,300606592.699911,0,21,19,0,24,49,5,0,5,85.734,0.664,4.388,20.545,5.142,1.789,14.75,90.92,4.748
930,11194321.9510569,0,0,25,43,6,5,2,2,7,85.734,32.673,1.834,2.475,6.436,1.665,3.184,6.019,4.287
931,1700145517.41697,0,28,0,29,13,35,1,0,6,85.734,1.631,57.763,3.589,6.503,1.564,18.126,90.92,3.499
932,13299787.7688262,0,10,30,23,45,10,1,0,2,85.734,1.271,1.508,3.938,0.945,2.734,18.126,90.92,4.827
933,1037327.73811116,0,18,8,37,9,5,7,0,26,85.734,0.979,1.339,1.181,2.847,1.665,11.037,90.92,1.643
934,28550819974.6882,0,36,0,0,6,46,1,0,8,85.734,2.419,57.763,20.545,6.436,2.678,18.126,90.92,4.084
935,1683201988.30523,0,14,0,0,9,62,3,0,15,85.734,2.667,57.763,20.545,2.847,2.655,4.748,90.92,1.901
936,8004461048.40488,0,0,0,25,18,36,7,0,2,85.734,32.673,57.763,2.869,3.33,1.069,11.037,90.92,4.827
937,984105811.950695,0,35,0,43,8,24,7,0,8,85.734,2.802,57.763,2.475,5.052,1.384,11.037,90.92,4.084
938,245999698.150105,0,7,0,23,18,14,19,0,5,85.734,1.598,57.763,3.938,3.33,1.53,3.589,90.92,4.748
939,747190134.525437,0,0,25,0,21,46,12,0,5,85.734,32.673,1.834,20.545,2.408,2.678,2.543,90.92,4.748
940,73140065.4779672,4,0,17,0,24,31,1,0,4,0.934,32.673,1.856,20.545,5.142,1.744,18.126,90.92,4.253
941,1449232106.66097,0,0,0,11,18,49,10,0,25,85.734,32.673,57.763,1.62,3.33,1.789,3.893,90.92,2.622
942,1325531.40960128,3,0,4,48,3,17,4,0,31,1.564,32.673,1.89,1.26,4.32,1.508,11.352,90.92,1.62
943,655175077.652574,0,14,0,29,29,65,5,0,26,85.734,2.667,57.763,3.589,3.319,1.89,14.75,90.92,1.643
944,1197109592.05216,0,20,0,29,6,10,7,0,8,85.734,0.934,57.763,3.589,6.436,2.734,11.037,90.92,4.084
945,11823.661333323,0,53,0,0,24,68,5,5,47,85.734,0.113,57.763,20.545,5.142,0.124,14.75,0.405,0.27
946,480356868.295404,0,12,0,55,8,25,5,0,1,85.734,2.171,57.763,1.283,5.052,1.013,14.75,90.92,5.074
947,52717912400.2883,0,0,0,13,6,45,5,0,1,85.734,32.673,57.763,3.105,6.436,2.396,14.75,90.92,5.074
948,106855418.180688,0,7,0,34,13,8,9,0,6,85.734,1.598,57.763,0.518,6.503,2.779,4.534,90.92,3.499
949,3297114648.55488,0,0,10,0,31,30,4,0,1,85.734,32.673,1.879,20.545,2.183,2.667,11.352,90.92,5.074
950,317772375.239972,0,0,27,5,15,65,7,0,10,85.734,32.673,1.035,3.555,3.792,1.89,11.037,90.92,4.287
951,2864668557.56356,0,36,0,0,3,27,2,0,10,85.734,2.419,57.763,20.545,4.32,2.171,3.184,90.92,4.287
952,1975835808.57906,0,10,0,43,6,22,1,0,11,85.734,1.271,57.763,2.475,6.436,2.768,18.126,90.92,4.32
953,17415852.200704,0,0,4,6,18,15,11,2,4,85.734,32.673,1.89,3.488,3.33,2.588,4.275,6.019,4.253
954,1369966800.7039,0,34,0,0,29,50,12,0,5,85.734,2.003,57.763,20.545,3.319,1.845,2.543,90.92,4.748
955,1043724718.01992,0,12,0,23,25,65,5,0,13,85.734,2.171,57.763,3.938,4.433,1.89,14.75,90.92,2.194
956,1218019869.1414,0,0,15,0,1,45,13,0,10,85.734,32.673,0.664,20.545,3.105,2.396,10.992,90.92,4.287
957,57016354.7661278,0,0,11,33,18,61,2,0,46,85.734,32.673,1.834,3.364,3.33,1.789,3.184,90.92,1.913
958,388730419.227659,0,30,0,2,3,36,13,0,24,85.734,2.509,57.763,4.242,4.32,1.069,10.992,90.92,1.598
959,528311795.78988,0,42,0,47,4,15,13,0,6,85.734,1.575,57.763,2.892,2.588,2.588,10.992,90.92,3.499
960,7405333.3567743,6,7,0,22,13,40,1,0,10,0.956,1.598,57.763,0.99,6.503,1.845,18.126,90.92,4.287
961,48691862.9668998,0,0,0,47,1,13,5,6,26,85.734,32.673,57.763,2.892,3.105,1.575,14.75,0.878,1.643
962,4839250297.91766,0,0,0,47,28,63,1,0,19,85.734,32.673,57.763,2.892,1.485,1.823,18.126,90.92,2.318
963,35321.391293126,14,36,0,50,22,66,11,2,23,1.868,2.419,57.763,1.091,1.665,2.318,4.275,6.019,1.249
964,8606983659.43354,0,14,0,0,8,45,13,0,25,85.734,2.667,57.763,20.545,5.052,2.396,10.992,90.92,2.622
965,103228778.055667,0,6,0,33,14,27,9,0,20,85.734,2.261,57.763,3.364,1.361,2.171,4.534,90.92,2.25
966,2717449.87221755,0,25,19,45,33,20,2,0,19,85.734,1.519,4.388,1.226,3.544,1.631,3.184,90.92,2.318
967,640091.432591477,0,15,19,0,11,54,2,2,15,85.734,1.654,4.388,20.545,1.969,0.698,3.184,6.019,1.901
