croc,overall_rarity,a1,a2,a3,a4,a5,a6,a7,a8,a9,a1_rarity,a2_rarity,a3_rarity,a4_rarity,a5_rarity,a6_rarity,a7_rarity,a8_rarity,a9_rarity
5083,7126642371.25924,0,3,0,0,12,46,1,0,1,85.734,0.979,57.763,20.545,3.195,2.678,18.126,90.92,5.074
5084,1433433164.8597,0,0,30,6,24,46,1,0,10,85.734,32.673,1.508,3.488,5.142,2.678,18.126,90.92,4.287
5085,2976786.6661927,0,26,19,3,32,24,7,0,6,85.734,2.048,4.388,0.686,1.159,1.384,11.037,90.92,3.499
5086,97825933.7616134,0,7,0,22,3,18,2,0,10,85.734,1.598,57.763,0.99,4.32,2.329,3.184,90.92,4.287
5087,20610234257.9635,0,1,0,0,18,46,1,0,5,85.734,2.903,57.763,20.545,3.33,2.678,18.126,90.92,4.748
5088,5836383961.8977,0,24,0,0,35,66,4,0,4,85.734,1.305,57.763,20.545,4.32,2.318,11.352,90.92,4.253
5089,17495011.3243654,0,1,16,28,6,46,11,0,11,85.734,2.903,1.553,1.564,6.436,2.678,4.275,90.92,4.32
5090,56932162.5349759,0,0,20,44,6,15,9,0,8,85.734,32.673,0.776,0.934,6.436,2.588,4.534,90.92,4.084
5091,183931533.349351,19,0,0,0,31,47,11,0,6,0.776,32.673,57.763,20.545,2.183,2.059,4.275,90.92,3.499
5092,35707089.87438,0,0,3,17,19,40,1,0,11,85.734,32.673,2.048,0.27,1.755,1.845,18.126,90.92,4.32
5093,156189442.706921,0,6,0,48,13,25,10,0,5,85.734,2.261,57.763,1.26,6.503,1.013,3.893,90.92,4.748
5094,14469067.9822527,0,26,23,23,6,49,9,0,6,85.734,2.048,1.26,3.938,6.436,1.789,4.534,90.92,3.499
5095,464697441.253931,0,38,0,43,18,24,4,0,11,85.734,1.845,57.763,2.475,3.33,1.384,11.352,90.92,4.32
5096,47207005808.1015,0,0,0,0,21,20,1,0,13,85.734,32.673,57.763,20.545,2.408,1.631,18.126,90.92,2.194
5097,178874584.780002,0,0,4,0,21,48,3,0,24,85.734,32.673,1.89,20.545,2.408,0.99,4.748,90.92,1.598
5098,970486714.138141,0,35,0,7,23,47,7,0,1,85.734,2.802,57.763,3.24,2.059,2.059,11.037,90.92,5.074
5099,25244337.3624234,0,0,11,52,6,33,4,0,17,85.734,32.673,1.834,1.125,6.436,0.281,11.352,90.92,2.34
5100,726885403.115579,0,8,0,47,31,12,1,0,10,85.734,2.216,57.763,2.892,2.183,1.485,18.126,90.92,4.287
5101,95556.1259288521,7,11,8,0,33,27,9,0,12,0.608,0.383,1.339,20.545,3.544,2.171,4.534,90.92,4.703
5102,427001379.920468,0,28,0,9,37,64,4,0,2,85.734,1.631,57.763,1.294,3.488,2.351,11.352,90.92,4.827
5103,13245986.7297875,0,2,16,1,16,47,5,0,3,85.734,1.778,1.553,1.958,1.991,2.059,14.75,90.92,5.198
5104,1953409.63226843,14,6,0,29,17,41,7,0,18,1.868,2.261,57.763,3.589,2.16,0.551,11.037,90.92,1.868
5105,104096786.037415,15,0,0,23,35,39,9,0,3,1.868,32.673,57.763,3.938,4.32,0.81,4.534,90.92,5.198
5106,491185307.98825,0,37,0,42,8,44,7,0,15,85.734,1.406,57.763,2.655,5.052,2.757,11.037,90.92,1.901
5107,188395280.536444,0,42,0,7,31,34,19,0,9,85.734,1.575,57.763,3.24,2.183,2.385,3.589,90.92,4.388
5108,1502340.55057553,0,35,25,44,18,29,1,0,36,85.734,2.802,1.834,0.934,3.33,0.574,18.126,90.92,1.159
5109,118837760.793181,0,6,0,48,26,10,5,0,22,85.734,2.261,57.763,1.26,1.688,2.734,14.75,90.92,1.361
5110,6615606.56824316,3,36,0,1,24,22,5,0,33,1.564,2.419,57.763,1.958,5.142,2.768,14.75,90.92,0.81
5111,880454837.779119,0,0,25,6,7,30,4,0,4,85.734,32.673,1.834,3.488,4.197,2.667,11.352,90.92,4.253
5112,343945883.424487,0,1,0,52,24,42,7,0,19,85.734,2.903,57.763,1.125,5.142,1.778,11.037,90.92,2.318
5113,7595019.62357009,1,12,0,29,25,18,9,0,28,1.958,2.171,57.763,3.589,4.433,2.329,4.534,90.92,2.025
5114,118881666.261163,0,0,10,12,29,44,12,0,1,85.734,32.673,1.879,2.104,3.319,2.757,2.543,90.92,5.074
5115,7325844.53975915,0,0,12,43,8,48,5,2,12,85.734,32.673,0.506,2.475,5.052,0.99,14.75,6.019,4.703
5116,54371974.1432823,0,0,10,25,22,39,1,0,31,85.734,32.673,1.879,2.869,1.665,0.81,18.126,90.92,1.62
5117,7010180890.19238,0,0,0,43,45,32,5,0,12,85.734,32.673,57.763,2.475,0.945,2.937,14.75,90.92,4.703
5118,1728204.60348551,0,17,0,23,33,31,10,2,21,85.734,0.394,57.763,3.938,3.544,1.744,3.893,6.019,1.553
5119,50722100.0301541,0,0,11,33,1,24,19,0,35,85.734,32.673,1.834,3.364,3.105,1.384,3.589,90.92,2.093
5120,282966781.970791,15,30,0,0,6,40,13,0,7,1.868,2.509,57.763,20.545,6.436,1.845,10.992,90.92,4.287
5121,4560121239.97698,0,26,0,0,25,51,7,0,6,85.734,2.048,57.763,20.545,4.433,1.406,11.037,90.92,3.499
5122,1029075381.42486,0,22,0,43,6,34,4,0,35,85.734,2.532,57.763,2.475,6.436,2.385,11.352,90.92,2.093
5123,20894594.7360609,0,36,16,23,6,62,1,0,51,85.734,2.419,1.553,3.938,6.436,2.655,18.126,90.92,0.585
5124,790040604.339039,0,43,0,13,35,40,4,0,12,85.734,1.328,57.763,3.105,4.32,1.845,11.352,90.92,4.703
5125,392623329.202613,0,0,10,36,13,34,13,0,11,85.734,32.673,1.879,1.114,6.503,2.385,10.992,90.92,4.32
5126,11559210689.5491,0,41,0,0,7,0,1,0,18,85.734,3.297,57.763,20.545,4.197,2.667,18.126,90.92,1.868
5127,1024434.95525928,0,5,22,5,26,17,12,0,9,85.734,1.271,1.024,3.555,1.688,1.508,2.543,90.92,4.388
5128,205417466.234657,3,0,0,0,4,10,1,2,9,1.564,32.673,57.763,20.545,2.588,2.734,18.126,6.019,4.388
5129,17732025.3817484,1,0,0,16,35,2,3,0,31,1.958,32.673,57.763,1.103,4.32,1.44,4.748,90.92,1.62
5130,521604242.809399,0,22,0,16,8,44,1,0,26,85.734,2.532,57.763,1.103,5.052,2.757,18.126,90.92,1.643
5131,497500433.863113,0,20,0,13,18,64,4,0,10,85.734,0.934,57.763,3.105,3.33,2.351,11.352,90.92,4.287
5132,2916313634.17105,0,0,0,15,24,12,13,0,6,85.734,32.673,57.763,0.675,5.142,1.485,10.992,90.92,3.499
5133,2214083718.7503,0,0,0,23,45,45,19,0,12,85.734,32.673,57.763,3.938,0.945,2.396,3.589,90.92,4.703
5134,442423452.739855,0,26,0,21,13,64,4,0,13,85.734,2.048,57.763,1.26,6.503,2.351,11.352,90.92,2.194
5135,5504188250.59481,0,5,0,0,24,3,1,0,4,85.734,1.271,57.763,20.545,5.142,1.181,18.126,90.92,4.253
5136,13037554.8670872,3,0,21,0,21,66,3,0,11,1.564,32.673,1.193,20.545,2.408,2.318,4.748,90.92,4.32
5137,115004171.34423,0,0,7,50,17,7,13,0,5,85.734,32.673,1.823,1.091,2.16,2.014,10.992,90.92,4.748
5138,93616062.081122,0,41,0,28,6,14,7,0,37,85.734,3.297,57.763,1.564,6.436,1.53,11.037,90.92,0.371
5139,5735834.53714867,0,0,28,25,31,11,5,0,26,85.734,32.673,0.338,2.869,2.183,0.439,14.75,90.92,1.643
5140,23143.2921026909,6,36,19,2,14,46,14,0,33,0.956,2.419,4.388,4.242,1.361,2.678,2.003,90.92,0.81
5141,1586932257.62884,0,3,0,0,18,44,5,0,34,85.734,0.979,57.763,20.545,3.33,2.757,14.75,90.92,1.294
5142,3427791771.88837,0,34,0,0,25,10,19,0,4,85.734,2.003,57.763,20.545,4.433,2.734,3.589,90.92,4.253
5143,3941747.19830823,0,29,24,6,10,66,9,0,8,85.734,1.688,1.913,3.488,1.046,2.318,4.534,90.92,4.084
5144,1761556.4329622,0,35,5,50,11,66,10,0,17,85.734,2.802,1.778,1.091,1.969,2.318,3.893,90.92,2.34
5145,956646.55686539,6,0,17,8,35,47,7,0,2,0.956,32.673,1.856,0.383,4.32,2.059,11.037,90.92,4.827
5146,677161338.902329,0,0,0,12,37,65,12,0,16,85.734,32.673,57.763,2.104,3.488,1.89,2.543,90.92,1.305
5147,143984672.970808,0,8,3,0,45,45,1,0,2,85.734,2.216,2.048,20.545,0.945,2.396,18.126,90.92,4.827
5148,877063686.083883,0,1,0,29,25,46,19,0,9,85.734,2.903,57.763,3.589,4.433,2.678,3.589,90.92,4.388
5149,3563534.46777141,0,15,10,33,37,47,1,2,1,85.734,1.654,1.879,3.364,3.488,2.059,18.126,6.019,5.074
5150,331.203225452279,0,32,6,19,14,1,1,1,52,85.734,1.238,1.001,0.743,1.361,0.461,18.126,0.619,0.596
5151,160.467641073516,17,38,3,23,7,45,1,5,50,0.236,1.845,2.048,3.938,4.197,2.396,18.126,0.405,0.619
5152,112113852.112048,0,22,0,5,22,39,3,0,11,85.734,2.532,57.763,3.555,1.665,0.81,4.748,90.92,4.32
5153,580248264.484311,0,33,0,13,37,86,4,0,11,85.734,1.508,57.763,3.105,3.488,1.609,11.352,90.92,4.32
5154,35680422.7362645,0,0,21,11,33,63,1,0,50,85.734,32.673,1.193,1.62,3.544,1.823,18.126,90.92,0.619
5155,8584554.52007526,0,22,19,32,6,17,4,0,24,85.734,2.532,4.388,0.563,6.436,1.508,11.352,90.92,1.598
5156,80852324.8941463,0,33,3,29,8,7,1,0,1,85.734,1.508,2.048,3.589,5.052,2.014,18.126,90.92,5.074
5157,691903983.906525,0,41,0,21,4,32,4,0,10,85.734,3.297,57.763,1.26,2.588,2.937,11.352,90.92,4.287
5158,74976283.5990919,0,0,21,6,15,4,8,0,2,85.734,32.673,1.193,3.488,3.792,1.316,2.937,90.92,4.827
5159,12512019.1906456,0,29,10,46,1,7,13,0,1,85.734,1.688,1.879,1.451,3.105,2.014,10.992,90.92,5.074
5160,297209259.406495,0,20,0,58,24,20,4,0,1,85.734,0.934,57.763,1.463,5.142,1.631,11.352,90.92,5.074
5161,10609469.2606683,0,28,0,48,16,45,6,0,22,85.734,1.631,57.763,1.26,1.991,2.396,1.766,90.92,1.361
5162,1084464.6425441,0,14,0,2,7,22,2,6,52,85.734,2.667,57.763,4.242,4.197,2.768,3.184,0.878,0.596
5163,140069977.837933,0,1,0,2,23,34,1,2,7,85.734,2.903,57.763,4.242,2.059,2.385,18.126,6.019,4.287
5164,37348.2451864567,11,14,6,1,8,20,5,0,46,0.338,2.667,1.001,1.958,5.052,1.631,14.75,90.92,1.913
5165,107780642.716027,0,38,0,47,20,13,13,0,12,85.734,1.845,57.763,2.892,0.551,1.575,10.992,90.92,4.703
5166,145833.042388616,19,6,6,6,31,17,1,0,9,0.776,2.261,1.001,3.488,2.183,1.508,18.126,90.92,4.388
5167,2736.35419454775,4,2,19,42,32,46,6,2,10,0.934,1.778,4.388,2.655,1.159,2.678,1.766,6.019,4.287
5168,1449083.52572968,3,15,0,5,1,10,4,2,12,1.564,1.654,57.763,3.555,3.105,2.734,11.352,6.019,4.703
5169,1022677.02658715,0,22,26,21,35,64,5,2,13,85.734,2.532,1.89,1.26,4.32,2.351,14.75,6.019,2.194
5170,15678844.090268,0,38,4,29,11,35,13,0,5,85.734,1.845,1.89,3.589,1.969,1.564,10.992,90.92,4.748
5171,27.0669980459373,18,6,30,0,9,2,2,8,47,0.191,2.261,1.508,20.545,2.847,1.44,3.184,0.574,0.27
5172,1132368.02335849,0,24,24,29,4,7,14,0,21,85.734,1.305,1.913,3.589,2.588,2.014,2.003,90.92,1.553
5173,1776847459.06901,0,35,0,2,21,15,7,0,2,85.734,2.802,57.763,4.242,2.408,2.588,11.037,90.92,4.827
5174,19690470.4748219,9,35,0,0,4,4,10,0,3,0.945,2.802,57.763,20.545,2.588,1.316,3.893,90.92,5.198
5175,7983.48940697468,11,31,19,51,21,3,10,0,10,0.338,0.99,4.388,1.26,2.408,1.181,3.893,90.92,4.287
5176,1708272674.06932,0,28,0,42,3,66,1,0,2,85.734,1.631,57.763,2.655,4.32,2.318,18.126,90.92,4.827
5177,2143928.56527604,0,22,5,28,16,62,19,0,14,85.734,2.532,1.778,1.564,1.991,2.655,3.589,90.92,2.059
5178,51186657.0796234,0,0,11,41,14,10,4,0,14,85.734,32.673,1.834,1.26,1.361,2.734,11.352,90.92,2.059
5179,116295746.644848,0,25,10,0,30,64,4,0,3,85.734,1.519,1.879,20.545,1.834,2.351,11.352,90.92,5.198
5180,721888646.07979,0,0,7,21,13,7,1,0,3,85.734,32.673,1.823,1.26,6.503,2.014,18.126,90.92,5.198
5181,13124.5965320516,0,26,0,15,7,0,17,8,9,85.734,2.048,57.763,0.675,4.197,2.667,0.068,0.574,4.388
5182,1687112.82088045,0,0,18,35,29,27,13,2,49,85.734,32.673,1.373,1.136,3.319,2.171,10.992,6.019,0.81
5183,198584101.896976,0,29,0,31,8,40,5,0,14,85.734,1.688,57.763,0.923,5.052,1.845,14.75,90.92,2.059
5184,20838473.9434905,0,4,5,52,13,24,13,0,3,85.734,2.599,1.778,1.125,6.503,1.384,10.992,90.92,5.198
5185,17052630.7635073,0,37,16,29,3,27,4,0,25,85.734,1.406,1.553,3.589,4.32,2.171,11.352,90.92,2.622
5186,8062686604.91257,0,0,0,29,33,42,5,0,26,85.734,32.673,57.763,3.589,3.544,1.778,14.75,90.92,1.643
5187,5041234605.89911,0,18,0,0,4,22,1,0,10,85.734,0.979,57.763,20.545,2.588,2.768,18.126,90.92,4.287
5188,5951910984.69708,0,4,0,0,7,12,4,0,6,85.734,2.599,57.763,20.545,4.197,1.485,11.352,90.92,3.499
5189,1843236828.45605,0,41,0,0,25,37,7,0,13,85.734,3.297,57.763,20.545,4.433,0.563,11.037,90.92,2.194
5190,38181249.7981049,19,0,0,2,33,52,8,0,6,0.776,32.673,57.763,4.242,3.544,1.856,2.937,90.92,3.499
5191,746509919.712009,0,37,0,22,6,27,1,0,12,85.734,1.406,57.763,0.99,6.436,2.171,18.126,90.92,4.703
5192,104310177.043561,0,0,23,2,4,49,2,0,3,85.734,32.673,1.26,4.242,2.588,1.789,3.184,90.92,5.198
5193,107968.346011262,0,1,25,27,1,32,13,2,33,85.734,2.903,1.834,0.484,3.105,2.937,10.992,6.019,0.81
5194,247175397.511528,0,20,0,52,18,63,1,0,5,85.734,0.934,57.763,1.125,3.33,1.823,18.126,90.92,4.748
5195,12478634191.659,0,0,0,12,12,62,1,0,25,85.734,32.673,57.763,2.104,3.195,2.655,18.126,90.92,2.622
5196,68206078.0309059,0,22,0,25,17,2,19,0,18,85.734,2.532,57.763,2.869,2.16,1.44,3.589,90.92,1.868
5197,327937068.792813,0,34,0,29,17,13,1,0,26,85.734,2.003,57.763,3.589,2.16,1.575,18.126,90.92,1.643
5198,86447794.8238401,0,0,11,49,1,62,11,0,1,85.734,32.673,1.834,1.035,3.105,2.655,4.275,90.92,5.074
5199,2052014547.16981,0,34,0,1,13,66,1,0,4,85.734,2.003,57.763,1.958,6.503,2.318,18.126,90.92,4.253
5200,5275690437.0799,0,0,0,44,37,22,1,0,13,85.734,32.673,57.763,0.934,3.488,2.768,18.126,90.92,2.194
5201,4148.53009657919,0,4,7,27,34,5,1,8,12,85.734,2.599,1.823,0.484,0.259,1.665,18.126,0.574,4.703
5202,92134304.7596869,14,0,0,55,19,5,5,0,3,1.868,32.673,57.763,1.283,1.755,1.665,14.75,90.92,5.198
5203,18325373.7754567,0,22,0,6,37,7,11,2,19,85.734,2.532,57.763,3.488,3.488,2.014,4.275,6.019,2.318
5204,172093545.5462,0,24,0,33,12,52,1,0,33,85.734,1.305,57.763,3.364,3.195,1.856,18.126,90.92,0.81
5205,1168007123.9441,0,43,0,5,24,7,13,0,2,85.734,1.328,57.763,3.555,5.142,2.014,10.992,90.92,4.827
5206,1353459313.20529,0,33,0,42,6,15,7,0,8,85.734,1.508,57.763,2.655,6.436,2.588,11.037,90.92,4.084
5207,1529433.02010044,0,13,0,6,7,24,8,2,27,85.734,0.473,57.763,3.488,4.197,1.384,2.937,6.019,1.823
5208,13109.9502985054,2,6,9,5,9,15,9,0,13,0.259,2.261,0.945,3.555,2.847,2.588,4.534,90.92,2.194
5209,1016718.77749113,2,14,0,46,24,7,4,0,26,0.259,2.667,57.763,1.451,5.142,2.014,11.352,90.92,1.643
5210,556265544.647367,0,0,0,7,31,34,1,2,18,85.734,32.673,57.763,3.24,2.183,2.385,18.126,6.019,1.868
5211,20581632164.5251,0,0,0,47,37,17,1,0,1,85.734,32.673,57.763,2.892,3.488,1.508,18.126,90.92,5.074
5212,4407057.03858978,0,5,16,31,15,63,13,0,8,85.734,1.271,1.553,0.923,3.792,1.823,10.992,90.92,4.084
5213,160046598.738532,0,15,0,2,2,46,9,0,19,85.734,1.654,57.763,4.242,1.8,2.678,4.534,90.92,2.318
5214,154759247.627649,0,0,5,47,9,45,19,0,2,85.734,32.673,1.778,2.892,2.847,2.396,3.589,90.92,4.827
5215,323405054.333373,0,14,0,13,15,46,10,0,13,85.734,2.667,57.763,3.105,3.792,2.678,3.893,90.92,2.194
5216,88961461.3558982,0,0,6,46,23,32,1,0,13,85.734,32.673,1.001,1.451,2.059,2.937,18.126,90.92,2.194
5217,150284269.070008,0,16,0,6,24,47,4,0,22,85.734,0.585,57.763,3.488,5.142,2.059,11.352,90.92,1.361
5218,287981080.778398,0,10,0,13,8,35,3,0,11,85.734,1.271,57.763,3.105,5.052,1.564,4.748,90.92,4.32
5219,208404068.395501,0,0,1,6,9,30,7,0,7,85.734,32.673,0.653,3.488,2.847,2.667,11.037,90.92,4.287
5220,171738252.397047,0,0,7,13,25,61,7,0,22,85.734,32.673,1.823,3.105,4.433,1.789,11.037,90.92,1.361
5221,507186354.591212,0,0,30,6,9,66,7,0,3,85.734,32.673,1.508,3.488,2.847,2.318,11.037,90.92,5.198
5222,9112472.51387095,6,0,5,7,12,44,5,0,10,0.956,32.673,1.778,3.24,3.195,2.757,14.75,90.92,4.287
5223,2768293.96171547,3,0,6,0,10,30,12,0,8,1.564,32.673,1.001,20.545,1.046,2.667,2.543,90.92,4.084
5224,14878443.4191327,0,12,0,37,17,34,14,0,23,85.734,2.171,57.763,1.181,2.16,2.385,2.003,90.92,1.249
5225,1995470267.28451,0,1,0,0,35,49,3,0,28,85.734,2.903,57.763,20.545,4.32,1.789,4.748,90.92,2.025
5226,5098552.89021507,14,19,2,0,33,18,5,0,8,1.868,1.879,1.564,20.545,3.544,2.329,14.75,90.92,4.084
5227,994371099.515062,0,28,0,43,7,7,5,0,9,85.734,1.631,57.763,2.475,4.197,2.014,14.75,90.92,4.388
5228,4450736525.84511,0,41,0,7,35,18,1,0,1,85.734,3.297,57.763,3.24,4.32,2.329,18.126,90.92,5.074
5229,283994252.828657,0,43,0,46,18,46,1,0,28,85.734,1.328,57.763,1.451,3.33,2.678,18.126,90.92,2.025
5230,540027086.803917,0,28,0,0,29,54,4,0,22,85.734,1.631,57.763,20.545,3.319,0.698,11.352,90.92,1.361
5231,7681944.65998959,12,0,0,0,10,0,14,0,50,0.63,32.673,57.763,20.545,1.046,2.667,2.003,90.92,0.619
5232,9340462.65688696,0,0,22,31,15,35,19,0,27,85.734,32.673,1.024,0.923,3.792,1.564,3.589,90.92,1.823
5233,687973.341957456,0,0,11,10,11,12,14,2,14,85.734,32.673,1.834,1.845,1.969,1.485,2.003,6.019,2.059
5234,2.02660707347843E-05,0,52,29,54,42,94,15,0,45,85.734,0.011,0.034,0.056,0.124,0.034,0.034,90.92,0.866
5235,164316602.451543,0,38,0,5,6,47,1,2,6,85.734,1.845,57.763,3.555,6.436,2.059,18.126,6.019,3.499
5236,4154654.15971172,0,6,23,11,4,48,7,0,8,85.734,2.261,1.26,1.62,2.588,0.99,11.037,90.92,4.084
5237,3035055.00900938,0,25,19,46,33,3,11,0,20,85.734,1.519,4.388,1.451,3.544,1.181,4.275,90.92,2.25
5238,210184131.109286,0,35,0,33,8,11,3,0,12,85.734,2.802,57.763,3.364,5.052,0.439,4.748,90.92,4.703
5239,315968609.615947,0,1,0,40,1,32,5,0,11,85.734,2.903,57.763,0.416,3.105,2.937,14.75,90.92,4.32
5240,11620082.7727716,19,15,0,0,13,8,14,0,19,0.776,1.654,57.763,20.545,6.503,2.779,2.003,90.92,2.318
5241,9505.50800975863,2,24,0,6,2,0,17,0,12,0.259,1.305,57.763,3.488,1.8,2.667,0.068,90.92,4.703
5242,46827959.6343147,0,0,27,4,17,21,13,0,6,85.734,32.673,1.035,1.44,2.16,1.485,10.992,90.92,3.499
5243,89967795.2158925,0,0,17,33,22,52,10,0,12,85.734,32.673,1.856,3.364,1.665,1.856,3.893,90.92,4.703
5244,102446138.292179,0,8,0,23,26,51,12,0,11,85.734,2.216,57.763,3.938,1.688,1.406,2.543,90.92,4.32
5245,64847683.0248403,0,42,0,33,23,14,5,0,51,85.734,1.575,57.763,3.364,2.059,1.53,14.75,90.92,0.585
5246,9136389.36461643,0,37,0,29,18,45,13,6,5,85.734,1.406,57.763,3.589,3.33,2.396,10.992,0.878,4.748
5247,484858418.814522,0,19,0,2,12,50,3,0,2,85.734,1.879,57.763,4.242,3.195,1.845,4.748,90.92,4.827
5248,6741265.42277477,0,14,25,58,9,17,1,0,21,85.734,2.667,1.834,1.463,2.847,1.508,18.126,90.92,1.553
5249,2403708.45812664,3,0,30,6,37,64,8,0,8,1.564,32.673,1.508,3.488,3.488,2.351,2.937,90.92,4.084
5250,36479657447.3291,0,0,0,29,35,62,5,0,8,85.734,32.673,57.763,3.589,4.32,2.655,14.75,90.92,4.084
5251,14161.528953098,20,54,0,27,8,12,1,0,49,0.281,0.18,57.763,0.484,5.052,1.485,18.126,90.92,0.81
5252,4502992.17095418,0,42,24,10,37,4,1,0,23,85.734,1.575,1.913,1.845,3.488,1.316,18.126,90.92,1.249
5253,255981662.462435,0,22,0,41,25,29,5,0,5,85.734,2.532,57.763,1.26,4.433,0.574,14.75,90.92,4.748
5254,616806219.965603,0,41,0,6,33,7,10,0,10,85.734,3.297,57.763,3.488,3.544,2.014,3.893,90.92,4.287
5255,5659605687.2586,0,0,0,2,16,27,7,0,15,85.734,32.673,57.763,4.242,1.991,2.171,11.037,90.92,1.901
5256,6689103.77219403,0,0,12,47,5,12,12,0,5,85.734,32.673,0.506,2.892,1.001,1.485,2.543,90.92,4.748
5257,24395126.2826439,0,3,8,29,1,44,1,0,7,85.734,0.979,1.339,3.589,3.105,2.757,18.126,90.92,4.287
5258,21855703692.9682,0,0,0,2,13,30,3,0,4,85.734,32.673,57.763,4.242,6.503,2.667,4.748,90.92,4.253
5259,121393390.556343,0,35,0,51,36,30,1,0,9,85.734,2.802,57.763,1.26,0.36,2.667,18.126,90.92,4.388
5260,7641496.44852488,0,0,8,44,45,0,13,0,45,85.734,32.673,1.339,0.934,0.945,2.667,10.992,90.92,0.866
5261,30784022.4605321,0,36,0,16,19,35,9,0,14,85.734,2.419,57.763,1.103,1.755,1.564,4.534,90.92,2.059
5262,840197639.452162,0,8,0,43,37,65,5,0,6,85.734,2.216,57.763,2.475,3.488,1.89,14.75,90.92,3.499
5263,76094988.2811972,0,3,0,28,11,22,5,0,32,85.734,0.979,57.763,1.564,1.969,2.768,14.75,90.92,1.373
5264,518476792.659298,0,14,0,13,24,12,19,0,1,85.734,2.667,57.763,3.105,5.142,1.485,3.589,90.92,5.074
5265,4864536146.07682,0,0,10,0,11,30,1,0,3,85.734,32.673,1.879,20.545,1.969,2.667,18.126,90.92,5.198
5266,920149.304971207,19,0,22,36,15,46,1,0,15,0.776,32.673,1.024,1.114,3.792,2.678,18.126,90.92,1.901
5267,423490.356565865,0,6,3,2,37,7,8,2,28,85.734,2.261,2.048,4.242,3.488,2.014,2.937,6.019,2.025
5268,283349481.394502,0,0,11,0,4,52,8,0,35,85.734,32.673,1.834,20.545,2.588,1.856,2.937,90.92,2.093
5269,2109561885.48279,0,36,0,6,29,0,5,0,4,85.734,2.419,57.763,3.488,3.319,2.667,14.75,90.92,4.253
5270,2264762692.17483,0,4,0,7,6,47,7,0,8,85.734,2.599,57.763,3.24,6.436,2.059,11.037,90.92,4.084
5271,50917778.2454851,0,10,0,51,12,18,9,0,35,85.734,1.271,57.763,1.26,3.195,2.329,4.534,90.92,2.093
5272,96193950.3195373,0,32,0,28,23,44,9,0,10,85.734,1.238,57.763,1.564,2.059,2.757,4.534,90.92,4.287
5273,22959751.2838298,0,0,30,5,22,11,13,0,35,85.734,32.673,1.508,3.555,1.665,0.439,10.992,90.92,2.093
5275,1002241.73219798,0,12,25,47,25,31,10,0,37,85.734,2.171,1.834,2.892,4.433,1.744,3.893,90.92,0.371
5276,10074112.9544838,0,21,0,3,16,12,3,0,6,85.734,0.664,57.763,0.686,1.991,1.485,4.748,90.92,3.499
5277,10521640468.9978,0,26,0,0,12,65,1,0,1,85.734,2.048,57.763,20.545,3.195,1.89,18.126,90.92,5.074
5278,115325634.338507,0,0,30,50,8,86,1,0,18,85.734,32.673,1.508,1.091,5.052,1.609,18.126,90.92,1.868
5279,17502436956.8138,0,0,0,0,30,66,10,0,6,85.734,32.673,57.763,20.545,1.834,2.318,3.893,90.92,3.499
5280,863827855.582952,0,30,0,25,8,63,7,0,25,85.734,2.509,57.763,2.869,5.052,1.823,11.037,90.92,2.622
5281,185726502.707519,0,0,24,43,21,62,3,0,1,85.734,32.673,1.913,2.475,2.408,2.655,4.748,90.92,5.074
5282,1613396311.7059,0,0,0,42,16,6,4,0,13,85.734,32.673,57.763,2.655,1.991,0.833,11.352,90.92,2.194
5283,2097.7662808943,0,18,24,19,7,1,1,1,49,85.734,0.979,1.913,0.743,4.197,0.461,18.126,0.619,0.81
5284,4534110098.13625,0,30,0,0,24,21,7,0,19,85.734,2.509,57.763,20.545,5.142,1.485,11.037,90.92,2.318
5285,1288634691.91588,0,0,19,47,2,64,1,0,3,85.734,32.673,4.388,2.892,1.8,2.351,18.126,90.92,5.198
5286,4963.91517026341,20,44,30,13,25,64,4,0,45,0.281,0.405,1.508,3.105,4.433,2.351,11.352,90.92,0.866
5287,319098755.2842,0,31,0,47,23,46,13,0,8,85.734,0.99,57.763,2.892,2.059,2.678,10.992,90.92,4.084
5288,133812865.906584,0,0,25,48,28,10,7,0,1,85.734,32.673,1.834,1.26,1.485,2.734,11.037,90.92,5.074
5289,2791688914.31829,0,0,26,0,11,40,1,0,7,85.734,32.673,1.89,20.545,1.969,1.845,18.126,90.92,4.287
5290,25697191.5898559,14,34,0,0,7,63,19,0,19,1.868,2.003,57.763,20.545,4.197,1.823,3.589,90.92,2.318
5291,7031406147.7009,0,0,0,35,35,66,1,0,19,85.734,32.673,57.763,1.136,4.32,2.318,18.126,90.92,2.318
5292,612833908.051979,0,14,0,50,35,62,1,0,20,85.734,2.667,57.763,1.091,4.32,2.655,18.126,90.92,2.25
5293,58619231.1432619,0,0,17,37,2,7,1,0,24,85.734,32.673,1.856,1.181,1.8,2.014,18.126,90.92,1.598
5294,589660355.965146,0,0,12,0,12,12,7,0,4,85.734,32.673,0.506,20.545,3.195,1.485,11.037,90.92,4.253
5295,941.147062120768,11,14,28,6,25,12,7,2,28,0.338,2.667,0.338,3.488,4.433,1.485,11.037,6.019,2.025
5296,21973944787.6215,0,35,0,0,33,10,1,0,2,85.734,2.802,57.763,20.545,3.544,2.734,18.126,90.92,4.827
5297,24034485.7270265,0,12,0,42,20,50,10,0,17,85.734,2.171,57.763,2.655,0.551,1.845,3.893,90.92,2.34
5298,4329550.80714008,0,4,26,7,29,46,9,0,45,85.734,2.599,1.89,3.24,3.319,2.678,4.534,90.92,0.866
