Croc,DNA,Binary DNA,A1,A2,A3,A4,A5,A6,A7,A8,A9,Attr List
2541,576471773911384071,100000000000000010100000011000101011000001110000000000000111,0,8,0,10,6,43,7,0,7,0 | 8 | 0 | 10 | 6 | 43 | 7 | 0 | 7
2542,432392921309577231,11000000000001010110001001000101110000011010000000000001111,0,6,0,43,18,46,13,0,15,0 | 6 | 0 | 43 | 18 | 46 | 13 | 0 | 15
2543,1804302026784702477,1100100001010001010110010001000111110000001010000000000001101,0,25,10,43,34,62,5,0,13,0 | 25 | 10 | 43 | 34 | 62 | 5 | 0 | 13
2544,4817055534809091,10001000111010001011000100100000001000000000000000011,0,0,17,29,22,36,4,0,3,0 | 0 | 17 | 29 | 22 | 36 | 4 | 0 | 3
2545,2017621579848613897,1110000000000000010000010001100010110000010100000000000001001,0,28,0,8,35,22,10,0,9,0 | 28 | 0 | 8 | 35 | 22 | 10 | 0 | 9
2546,130063957380966055964,1110000110100000000000000000010000100101110000001110000000000011100,7,13,0,0,33,46,7,0,28,7 | 13 | 0 | 0 | 33 | 46 | 7 | 0 | 28
2547,166597212443684044835,10010000100000000000001100100000110000110100000100110000000000100011,9,8,0,50,12,52,19,0,35,9 | 8 | 0 | 50 | 12 | 52 | 19 | 0 | 35
2548,1133652893564929,100000001110000110100100010000001010000000000000001,0,0,4,7,13,34,5,0,1,0 | 0 | 4 | 7 | 13 | 34 | 5 | 0 | 1
2549,2960835310285946890,10100100010111000000000000011100001100000001110000000000001010,0,41,23,0,7,12,7,0,10,0 | 41 | 23 | 0 | 7 | 12 | 7 | 0 | 10
2550,3137048928780291,1011001001010010000100011111000010110000000000000011,0,0,11,37,33,31,11,0,3,0 | 0 | 11 | 37 | 33 | 31 | 11 | 0 | 3
2551,794047537526276098,101100000101000001100000011101000001000001110000000000000010,0,11,5,6,7,65,7,0,2,0 | 11 | 5 | 6 | 7 | 65 | 7 | 0 | 2
2552,362258325998600223,10100000111000000000000011100110110000100110000000000011111,0,5,7,0,7,54,19,0,31,0 | 5 | 7 | 0 | 7 | 54 | 19 | 0 | 31
2553,144132793885327377,1000000000000100000000001100101100000001010000000000010001,0,2,0,16,3,44,5,0,17,0 | 2 | 0 | 16 | 3 | 44 | 5 | 0 | 17
2554,259983799401134620685,11100001100000000000000000000001101000100101000010110000000000001101,14,24,0,0,26,37,11,0,13,14 | 24 | 0 | 0 | 26 | 37 | 11 | 0 | 13
2555,2522052195756146697,10001100000000001000010001110000010001000010100000000000001001,0,35,0,33,28,17,10,0,9,0 | 35 | 0 | 33 | 28 | 17 | 10 | 0 | 9
2556,258686768106655514628,11100000011000000000000001010000001100000011000011010000000000000100,14,6,0,5,3,3,13,0,4,14 | 6 | 0 | 5 | 3 | 3 | 13 | 0 | 4
2557,864692283835482116,110000000000000000010000110100000010000010010000000000000100,0,12,0,1,13,2,9,0,4,0 | 12 | 0 | 1 | 13 | 2 | 9 | 0 | 4
2558,864727520602554414,110000000000001000010001100100110101000001010000000000101110,0,12,0,33,25,53,5,0,46,0 | 12 | 0 | 33 | 25 | 53 | 5 | 0 | 46
2559,1008806343207026699,111000000000000000000000011000110110000001000000000000001011,0,14,0,0,6,54,4,0,11,0 | 14 | 0 | 0 | 6 | 54 | 4 | 0 | 11
2560,5384335284830222,10011001000010000011001000000000000010000000000001110,0,0,19,33,6,64,1,0,14,0 | 0 | 19 | 33 | 6 | 64 | 1 | 0 | 14
2561,288287710191484932,10000000000001101000010010100011111000100110000000000000100,0,4,0,52,37,31,19,0,4,0 | 4 | 0 | 52 | 37 | 31 | 19 | 0 | 4
2562,144122961966727169,1000000000000001110001001000000000000000010000000000000001,0,2,0,7,18,0,1,0,1,0 | 2 | 0 | 7 | 18 | 0 | 1 | 0 | 1
2563,2666147601682202899,10010100000000000011110001111000101101000001110000000100010011,0,37,0,15,30,45,7,1,19,0 | 37 | 0 | 15 | 30 | 45 | 7 | 1 | 19
2564,30876671214108,111000001010100001001000001010000001000011100,0,0,0,28,21,9,5,2,28,0 | 0 | 0 | 28 | 21 | 9 | 5 | 2 | 28
2565,19527661873435049991,10000111100000000001100010000001100001100000010010000000000000111,1,15,0,49,3,12,9,0,7,1 | 15 | 0 | 49 | 3 | 12 | 9 | 0 | 7
2566,2882303805070966800,10100000000000000000000000101000100100000000110000000000010000,0,40,0,0,10,36,3,0,16,0 | 40 | 0 | 0 | 10 | 36 | 3 | 0 | 16
2567,2239161018557792269,1111100010011000110010001010100110010000010100000000000001101,0,31,19,25,21,50,10,0,13,0 | 31 | 19 | 25 | 21 | 50 | 10 | 0 | 13
2568,288253470560223264,10000000000000101010000000100010110000001000000000000100000,0,4,0,21,1,22,4,0,32,0 | 4 | 0 | 21 | 1 | 22 | 4 | 0 | 32
2569,8496017633509388,11110001011110001010101000001000011010000000000001100,0,0,30,47,21,65,13,0,12,0 | 0 | 30 | 47 | 21 | 65 | 13 | 0 | 12
2570,576460881437917189,100000000000000000000001111000010001000001000000000000000101,0,8,0,0,30,17,4,0,5,0 | 8 | 0 | 0 | 30 | 17 | 4 | 0 | 5
2571,1590617425593171976,1011000010011000000100001111100000010000001110000000000001000,0,22,19,2,31,2,7,0,8,0 | 22 | 19 | 2 | 31 | 2 | 7 | 0 | 8
2572,3098504083531694081,10101100000000000110010000110000100010000000010000000000000001,0,43,0,25,12,34,1,0,1,0 | 43 | 0 | 25 | 12 | 34 | 1 | 0 | 1
2573,43504107523,101000100001000011000000000000000011,0,0,0,0,10,33,12,0,3,0 | 0 | 0 | 0 | 10 | 33 | 12 | 0 | 3
2574,8471896677154829,11110000110010010010100101000000001000000000000001101,0,0,30,25,37,40,4,0,13,0 | 0 | 30 | 25 | 37 | 40 | 4 | 0 | 13
2575,35131949074,100000101110000001110000000000010010,0,0,0,0,8,46,7,0,18,0 | 0 | 0 | 0 | 8 | 46 | 7 | 0 | 18
2576,4540017293459473,10000001000010001111100100110000011010000000000010001,0,0,16,33,31,38,13,0,17,0 | 0 | 16 | 33 | 31 | 38 | 13 | 0 | 17
2577,3140351976210444,1011001010000010001000101100000000110000000000001100,0,0,11,40,34,44,3,0,12,0 | 0 | 11 | 40 | 34 | 44 | 3 | 0 | 12
2578,5385464274288645,10011001000100000110100011101000001010000000000000101,0,0,19,34,13,29,5,0,5,0 | 0 | 19 | 34 | 13 | 29 | 5 | 0 | 5
2579,1995648719585281,111000101110000100000101101000001110000000000000001,0,0,7,23,8,45,7,0,1,0 | 0 | 7 | 23 | 8 | 45 | 7 | 0 | 1
2580,5411908975263797,10011001110100001101001000000000001110000000000110101,0,0,19,58,26,64,7,0,53,0 | 0 | 19 | 58 | 26 | 64 | 7 | 0 | 53
2581,7318543708848134,11010000000000010110100111110000010100000000000000110,0,0,26,0,45,62,10,0,6,0 | 0 | 26 | 0 | 45 | 62 | 10 | 0 | 6
2582,2601116943222375940,10010000011001000001100001010000011100000001010000011000000100,0,36,25,6,20,28,5,6,4,0 | 36 | 25 | 6 | 20 | 28 | 5 | 6 | 4
2583,1444857533431814,101001000100001011100011100000010000000000000000110,0,0,5,34,23,28,8,0,6,0 | 0 | 5 | 34 | 23 | 28 | 8 | 0 | 6
2584,4785207798595608,10001000000000001111100000011000000110000000000011000,0,0,17,0,31,3,3,0,24,0 | 0 | 17 | 0 | 31 | 3 | 3 | 0 | 24
2585,152002024576974855,1000011100000001010000100100111000000011010000000000000111,0,2,28,5,9,56,13,0,7,0 | 2 | 28 | 5 | 9 | 56 | 13 | 0 | 7
2586,2024697951137628169,1110000011001001011000000111100101011000001010000000000001001,0,28,25,44,15,43,5,0,9,0 | 28 | 25 | 44 | 15 | 43 | 5 | 0 | 9
2587,20464358961864310799,10001110000000000000000100000110100001110000000010000000000001111,1,28,0,2,13,14,1,0,15,1 | 28 | 0 | 2 | 13 | 14 | 1 | 0 | 15
2588,1080876018954403843,111100000000000010110000001100110100000001000000000000000011,0,15,0,11,3,52,4,0,3,0 | 15 | 0 | 11 | 3 | 52 | 4 | 0 | 3
2589,46206097358857,1010100000011000110010000001010000000000001001,0,0,0,42,6,50,5,0,9,0 | 0 | 0 | 42 | 6 | 50 | 5 | 0 | 9
2590,306923765563399,1000101110010010101000010000001010000000000000111,0,0,1,23,37,66,5,0,7,0 | 0 | 1 | 23 | 37 | 66 | 5 | 0 | 7
2591,1297077430901211143,1001000000000001001010000110100011011000010110000000000000111,0,18,0,37,13,27,11,0,7,0 | 18 | 0 | 37 | 13 | 27 | 11 | 0 | 7
2592,148945310879572494379,10000001001100001000000010110001100101010001000010110000100000101011,8,19,8,11,25,81,11,8,43,8 | 19 | 8 | 11 | 25 | 81 | 11 | 8 | 43
2593,367352388769611784,10100011001000110010000110100100000000000010000000000001000,0,5,25,25,13,32,1,0,8,0 | 5 | 25 | 25 | 13 | 32 | 1 | 0 | 8
2594,7326067669270529,11010000001110000010100001101000001110000000000000001,0,0,26,7,5,13,7,0,1,0 | 0 | 26 | 7 | 5 | 13 | 7 | 0 | 1
2595,850042965524505,11000001010001110000001101000000010000000000011001,0,0,3,5,28,13,1,0,25,0 | 0 | 3 | 5 | 28 | 13 | 1 | 0 | 25
2596,2595763386360987649,10010000000110000000010000110000000101000000110000000000000001,0,36,6,1,12,5,3,0,1,0 | 36 | 6 | 1 | 12 | 5 | 3 | 0 | 1
2597,576461903422685202,100000000000000000010000110000000100000011100000000000010010,0,8,0,1,12,4,14,0,18,0 | 8 | 0 | 1 | 12 | 4 | 14 | 0 | 18
2598,4001178648641571,1110001101110000110100000000000010010000000000100011,0,0,14,55,13,0,9,0,35,0 | 0 | 14 | 55 | 13 | 0 | 9 | 0 | 35
2599,54004919828527,1100010001111000000000000100000000000000101111,0,0,0,49,30,0,16,0,47,0 | 0 | 0 | 49 | 30 | 0 | 16 | 0 | 47
2600,3132590903263234,1011001000010001001100101000000001000000000000000010,0,0,11,33,19,40,4,0,2,0 | 0 | 11 | 33 | 19 | 40 | 4 | 0 | 2
2601,7599932265791541,11011000000000001100100011111000001010000000000110101,0,0,27,0,25,31,5,0,53,0 | 0 | 27 | 0 | 25 | 31 | 5 | 0 | 53
2602,432346797051871250,11000000000000000010001111100001010000011100000000000010010,0,6,0,1,31,10,14,0,18,0 | 6 | 0 | 1 | 31 | 10 | 14 | 0 | 18
2603,279223213206876258330,11110010001100000000001000010000011000001111000001010000000000011010,15,35,0,33,6,15,5,0,26,15 | 35 | 0 | 33 | 6 | 15 | 5 | 0 | 26
2604,72057658513293326,100000000000000000000111100000011000010000000000000001110,0,1,0,0,15,3,8,0,14,0 | 1 | 0 | 0 | 15 | 3 | 8 | 0 | 14
2605,37439599345692,1000100000110100010110000001010000000000011100,0,0,0,34,13,22,5,0,28,0 | 0 | 0 | 34 | 13 | 22 | 5 | 0 | 28
2606,2384937512550072350,10000100011001000000000000100000011111000011010000000000011110,0,33,25,0,8,31,13,0,30,0 | 33 | 25 | 0 | 8 | 31 | 13 | 0 | 30
2607,2594109725587275788,10010000000000001000010000110100011110000001000000000000001100,0,36,0,33,13,30,4,0,12,0 | 36 | 0 | 33 | 13 | 30 | 4 | 0 | 12
2608,31916338249735,111010000011100011010000000010000000000000111,0,0,0,29,7,26,1,0,7,0 | 0 | 0 | 29 | 7 | 26 | 1 | 0 | 7
2609,2522015805252829192,10001100000000000000000000001100111110000001000000000000001000,0,35,0,0,3,62,4,0,8,0 | 35 | 0 | 0 | 3 | 62 | 4 | 0 | 8
2610,7599902855069723,11011000000000001001001000110000000010000000000011011,0,0,27,0,18,70,1,0,27,0 | 0 | 27 | 0 | 18 | 70 | 1 | 0 | 27
2611,1441159603713998855,1010000000000000001110000011000100100000001000000000000000111,0,20,0,7,6,36,4,0,7,0 | 20 | 0 | 7 | 6 | 36 | 4 | 0 | 7
2612,872054958129177,11000110010010000100011110000000010000000000011001,0,0,3,25,33,30,1,0,25,0 | 0 | 3 | 25 | 33 | 30 | 1 | 0 | 25
2613,1080915695275016206,111100000000001011110001100100010001000000110000000000001110,0,15,0,47,25,17,3,0,14,0 | 15 | 0 | 47 | 25 | 17 | 3 | 0 | 14
2614,1441172827330904370,1010000000000000100110000110100000001000000010000000100110010,0,20,0,19,13,1,1,1,50,0 | 20 | 0 | 19 | 13 | 1 | 1 | 1 | 50
2615,2019891930095812615,1110000001000000110010000001000110010000010100000000000000111,0,28,8,25,2,50,10,0,7,0 | 28 | 8 | 25 | 2 | 50 | 10 | 0 | 7
2616,223955047362960162824,11000010010000000000001010010000001100001101000001100000000000001000,12,36,0,41,3,13,6,0,8,12 | 36 | 0 | 41 | 3 | 13 | 6 | 0 | 8
2617,17682883739654,100000001010100011110000000010000000000000110,0,0,0,16,21,30,1,0,6,0 | 0 | 0 | 16 | 21 | 30 | 1 | 0 | 6
2618,290520779349622794,10000001000001000110001110000001101000000010000000000001010,0,4,8,35,28,13,1,0,10,0 | 4 | 8 | 35 | 28 | 13 | 1 | 0 | 10
2619,2017623718523895818,1110000000000000010100001010100001001000001010000000000001010,0,28,0,10,21,9,5,0,10,0 | 28 | 0 | 10 | 21 | 9 | 5 | 0 | 10
2620,288235904127205426,10000000000000001010000011100010101000001000000000000110010,0,4,0,5,7,21,4,0,50,0 | 4 | 0 | 5 | 7 | 21 | 4 | 0 | 50
2621,5369074360321316,10011000100110010010100001010000001010000010100100100,0,0,19,19,37,10,5,5,36,0 | 0 | 19 | 19 | 37 | 10 | 5 | 5 | 36
2622,1008833933708427282,111000000000000110010001111000100000000011010000000000010010,0,14,0,25,30,32,13,0,18,0 | 14 | 0 | 25 | 30 | 32 | 13 | 0 | 18
2623,317854390485015,1001000010001011000111110000010010000000000010111,0,0,1,33,22,62,9,0,23,0 | 0 | 1 | 33 | 22 | 62 | 9 | 0 | 23
2624,221361523794343231516,11000000000000000010000111010001000100111101000000100000000000011100,12,0,2,29,17,61,2,0,28,12 | 0 | 2 | 29 | 17 | 61 | 2 | 0 | 28
